,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,movie_id,runtime_minutes,genres
534,2011-05-13,priest,60.0,29.136626,84.154026,24.154026,tt0822847,87.0,"Action,Adventure,Fantasy"
535,2014-02-14,winter's tale,60.0,12.600231,29.575033,-30.424967,tt1837709,118.0,"Drama,Fantasy,Mystery"
536,2017-02-24,rock dog,60.0,9.420546,24.148488,-35.851512,tt2822672,90.0,"Adventure,Animation,Comedy"
537,2015-01-23,mortdecai,60.0,7.696134,30.396134,-29.603866,tt3045616,107.0,"Action,Comedy,Crime"
539,2018-03-23,sherlock gnomes,59.0,43.242871,87.527651,28.527651000000006,tt2296777,86.0,"Adventure,Animation,Comedy"
540,2019-01-25,the kid who would be king,59.0,16.79079,28.348446,-30.651554,tt6811018,120.0,"Action,Adventure,Family"
541,2016-02-12,deadpool,58.0,363.070709,801.025593,743.025593,tt1431045,108.0,"Action,Adventure,Comedy"
542,2014-12-25,american sniper,58.0,350.126372,547.326372,489.326372,tt2179136,133.0,"Action,Biography,Drama"
543,2015-10-16,goosebumps,58.0,80.069458,158.905324,100.90532400000001,tt1051904,103.0,"Adventure,Comedy,Family"
544,2012-01-20,red tails,58.0,49.876377,50.365498,-7.634501999999998,tt0485985,125.0,"Action,Adventure,Drama"
545,2013-06-07,the internship,58.0,44.672764,93.672764,35.672764,tt2234155,119.0,Comedy
549,2017-03-24,life,58.0,30.234022,100.929666,42.929666,tt5442430,104.0,"Horror,Sci-Fi,Thriller"
551,2010-09-10,resident evil: afterlife,57.5,60.128566,295.87419,238.37419,tt1220634,96.0,"Action,Adventure,Horror"
552,2012-06-15,that's my boy,57.5,36.931089,58.085235,0.5852349999999973,tt1232200,116.0,Comedy
554,2012-02-17,ghost rider: spirit of vengeance,57.0,51.774002,149.217355,92.217355,tt1071875,96.0,"Action,Fantasy,Thriller"
555,2014-12-25,into the woods,56.2,128.002372,213.116401,156.916401,tt2180411,125.0,"Adventure,Comedy,Drama"
560,2018-11-02,bohemian rhapsody,55.0,216.303339,894.985342,839.985342,tt1727824,134.0,"Biography,Drama,Music"
561,2017-02-10,fifty shades darker,55.0,114.43401,381.398492,326.398492,tt4465564,118.0,"Drama,Romance"
562,2013-10-11,captain phillips,55.0,107.136417,220.648184,165.648184,tt1535109,134.0,"Biography,Drama,Thriller"
563,2017-11-10,murder on the orient express,55.0,102.826543,345.92273,290.92273,tt3402236,114.0,"Crime,Drama,Mystery"
564,2014-09-26,the equalizer,55.0,101.530738,192.903624,137.903624,tt0455944,132.0,"Action,Crime,Thriller"
565,2018-02-09,fifty shades freed,55.0,100.40776,371.350619,316.350619,tt4477536,105.0,"Drama,Romance,Thriller"
566,2010-04-09,date night,55.0,98.711404,152.269033,97.26903300000001,tt1279935,88.0,"Comedy,Crime,Romance"
567,2015-01-16,paddington,55.0,76.223578,258.789097,203.78909700000003,tt1109624,95.0,"Adventure,Comedy,Family"
568,2011-06-17,mr. popper's penguins,55.0,68.224452,189.624452,134.624452,tt1396218,94.0,"Comedy,Family,Fantasy"
569,2013-11-01,free birds,55.0,55.75048,110.387072,55.387072,tt1621039,91.0,"Adventure,Animation,Comedy"
570,2014-03-21,muppets most wanted,55.0,51.178893,79.312301,24.312301000000005,tt2281587,107.0,"Adventure,Comedy,Crime"
571,2016-08-19,kubo and the two strings,55.0,48.023088,77.548122,22.548122000000006,tt4302938,101.0,"Action,Adventure,Animation"
572,2010-11-24,burlesque,55.0,39.440655,90.552675,35.552674999999994,tt1126591,119.0,"Drama,Music,Musical"
574,2012-07-27,the watch,55.0,34.353,67.130045,12.130044999999996,tt1298649,102.0,"Action,Comedy,Horror"
575,2018-02-23,annihilation,55.0,32.732301,43.070915,-11.929085,tt2798920,115.0,"Adventure,Drama,Horror"
576,2015-10-16,crimson peak,55.0,31.09032,74.966854,19.966853999999998,tt2554274,119.0,"Drama,Fantasy,Horror"
577,2012-04-27,the pirates! band of misfits,55.0,31.051126,136.143605,81.14360500000001,tt1430626,88.0,"Adventure,Animation,Comedy"
578,2013-02-01,bullet to the head,55.0,9.489829,22.597969,-32.402031,tt1308729,92.0,"Action,Crime,Thriller"
579,2015-09-18,black mass,53.0,62.575678,98.837872,45.837872000000004,tt1355683,123.0,"Biography,Crime,Drama"
580,2012-12-19,zero dark thirty,52.5,95.720716,134.612435,82.112435,tt1790885,157.0,"Drama,Thriller"
581,2010-02-12,valentine's day,52.0,110.485654,217.569328,165.569328,tt0817230,125.0,"Comedy,Romance"
582,2011-08-05,the change-up,52.0,37.243418,75.997067,23.997067,tt1488555,112.0,"Comedy,Fantasy"
583,2010-02-05,from paris with love,52.0,24.077427,53.139168,1.139167999999998,tt1179034,92.0,"Action,Crime,Thriller"
586,2018-08-17,alpha,51.0,35.851379,99.624873,48.624872999999994,tt4244998,96.0,"Adventure,Drama,Family"
589,2011-03-04,the adjustment bureau,50.2,62.495645,126.931325,76.731325,tt1385826,106.0,"Romance,Sci-Fi,Thriller"
590,2012-06-29,ted,50.0,218.66574,556.016627,506.01662699999997,tt1637725,106.0,"Comedy,Fantasy"
591,2014-06-13,22 jump street,50.0,191.719337,331.333876,281.333876,tt2294449,112.0,"Action,Comedy,Crime"
592,2015-12-25,daddy's home,50.0,150.357137,242.757137,192.757137,tt1528854,96.0,Comedy
594,2016-06-17,central intelligence,50.0,127.440871,217.194805,167.194805,tt1489889,107.0,"Action,Comedy,Crime"
595,2013-12-18,anchorman 2: the legend continues,50.0,127.352707,172.185754,122.185754,tt1229340,119.0,Comedy
596,2011-06-10,super 8,50.0,127.004179,257.972745,207.97274499999997,tt1650062,112.0,"Mystery,Sci-Fi,Thriller"
597,2018-11-21,creed ii,50.0,115.715889,213.591522,163.591522,tt6343314,130.0,"Drama,Sport"
598,2018-02-09,peter rabbit,50.0,115.234093,347.136477,297.136477,tt5117670,95.0,"Adventure,Animation,Comedy"
601,2018-12-14,the mule,50.0,103.804407,170.857676,120.857676,tt7959026,116.0,"Crime,Drama,Thriller"
602,2014-02-28,non-stop,50.0,91.74216,222.383055,172.383055,tt2024469,106.0,"Action,Mystery,Thriller"
