id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
73,25-Apr-97,Volcano,"$90,000,000 ","$47,546,796 ","$120,100,000 ",,Volcano,,,,,#VALUE!,0
74,26-Mar-97,The Devil's Own,"$90,000,000 ","$42,885,593 ","$140,900,000 ",,The Devil's Own,,,,,#VALUE!,0
75,19-Jul-02,K-19: The Widowmaker,"$90,000,000 ","$35,168,966 ","$65,716,126 ",,K-19: The Widowmaker,,,,,#VALUE!,0
76,19-Aug-11,Conan the Barbarian,"$90,000,000 ","$21,295,021 ","$63,356,133 ",,Conan the Barbarian,,,,,#VALUE!,0
77,21-Oct-11,The Three Musketeers,"$90,000,000 ","$20,377,913 ","$139,877,913 ",,The Three Musketeers,,,,,#VALUE!,0
78,21-Apr-17,The Promise,"$90,000,000 ","$8,224,288 ","$10,551,417 ",,The Promise,,,,,#VALUE!,0
79,24-Nov-10,The Nutcracker in 3D,"$90,000,000 ","$195,459 ","$20,466,016 ",,The Nutcracker in 3D,,,,,#VALUE!,0
80,13-Dec-17,Bright,"$90,000,000 ",$0 ,$0 ,,Bright,,,,,#VALUE!,0
81,31-Dec-19,Army of the Dead,"$90,000,000 ",$0 ,$0 ,,Army of the Dead,,,,,#VALUE!,0
82,10-May-96,Twister,"$88,000,000 ","$241,688,385 ","$495,700,000 ",,Twister,,,,,#VALUE!,0
83,3-Jun-05,Cinderella Man,"$88,000,000 ","$61,649,911 ","$105,021,488 ",,Cinderella Man,,,,,#VALUE!,0
84,14-Sep-18,The Predator,"$88,000,000 ","$51,024,708 ","$159,487,563 ",,The Predator,,,,,#VALUE!,0
85,8-Jul-05,Fantastic Four,"$87,500,000 ","$154,696,080 ","$333,132,750 ",,Fantastic Four,,,,,#VALUE!,0
86,9-Feb-01,Hannibal,"$87,000,000 ","$165,092,266 ","$350,100,280 ",,Hannibal,,,,,#VALUE!,0
87,25-Jul-03,Seabiscuit,"$86,000,000 ","$120,277,854 ","$148,715,342 ",,Seabiscuit,,,,,#VALUE!,0
88,22-Dec-00,Cast Away,"$85,000,000 ","$233,632,142 ","$427,230,516 ",,Cast Away,,,,,#VALUE!,0
89,17-Nov-06,Happy Feet,"$85,000,000 ","$198,000,317 ","$385,000,317 ",,Happy Feet,,,,,#VALUE!,0
90,7-Dec-01,Ocean's Eleven,"$85,000,000 ","$183,417,150 ","$450,728,529 ",,Ocean's Eleven,,,,,#VALUE!,0
91,23-Jul-04,The Bourne Supremacy,"$85,000,000 ","$176,087,450 ","$311,001,124 ",,The Bourne Supremacy,,,,,#VALUE!,0
92,25-Jul-97,Air Force One,"$85,000,000 ","$172,956,409 ","$315,268,353 ",,Air Force One,,,,,#VALUE!,0
93,3-Apr-09,Fast & Furious,"$85,000,000 ","$155,064,265 ","$363,064,265 ",,Fast & Furious,,,,,#VALUE!,0
94,14-Mar-08,Horton Hears a Who,"$85,000,000 ","$154,529,439 ","$299,477,886 ",,Horton Hears a Who,,,,,#VALUE!,0
95,21-Mar-14,Divergent,"$85,000,000 ","$150,947,895 ","$276,014,965 ",,Divergent,,,,,#VALUE!,0
96,28-Sep-12,Hotel Transylvania,"$85,000,000 ","$148,313,048 ","$378,505,812 ",,Hotel Transylvania,,,,,#VALUE!,0
97,5-Apr-19,Shazam!,"$85,000,000 ","$139,606,856 ","$362,899,733 ",,Shazam!,,,,,#VALUE!,0
98,21-Nov-07,Enchanted,"$85,000,000 ","$127,706,877 ","$340,384,141 ",,Enchanted,,,,,#VALUE!,0
99,10-Feb-12,Safe House,"$85,000,000 ","$126,181,630 ","$208,542,162 ",,Safe House,,,,,#VALUE!,0
100,20-Jul-07,I Now Pronounce You Chuck and Larry,"$85,000,000 ","$119,725,280 ","$185,708,462 ",,I Now Pronounce You Chuck and Larry,,,,,#VALUE!,0
1,8-Jun-07,Ocean's Thirteen,"$85,000,000 ","$117,144,465 ","$311,744,465 ",,Ocean's Thirteen,,,,,#VALUE!,0
2,25-Dec-09,It's Complicated,"$85,000,000 ","$112,735,375 ","$224,614,744 ",,It's Complicated,,,,,#VALUE!,0
3,20-Nov-98,Enemy of the State,"$85,000,000 ","$111,549,836 ","$250,649,836 ",,Enemy of the State,,,,,#VALUE!,0
4,29-Sep-06,Open Season,"$85,000,000 ","$85,105,259 ","$191,932,158 ",,Open Season,,,,,#VALUE!,0
5,4-Nov-11,Tower Heist,"$85,000,000 ","$78,046,570 ","$150,422,946 ",,Tower Heist,,,,,#VALUE!,0
6,22-Nov-00,102 Dalmatians,"$85,000,000 ","$66,941,559 ","$66,941,559 ",,102 Dalmatians,,,,,#VALUE!,0
7,30-Mar-12,Mirror Mirror,"$85,000,000 ","$64,935,167 ","$173,613,482 ",,Mirror Mirror,,,,,#VALUE!,0
8,8-Dec-06,The Holiday,"$85,000,000 ","$63,280,000 ","$205,190,324 ",,The Holiday,,,,,#VALUE!,0
9,16-Jun-06,The Fast and the Furious: Tokyo Drift,"$85,000,000 ","$62,615,510 ","$157,794,205 ",,The Fast and the Furious: Tokyo Drift,,,,,#VALUE!,0
10,9-Dec-05,Memoirs of a Geisha,"$85,000,000 ","$57,010,853 ","$161,510,853 ",,Memoirs of a Geisha,,,,,#VALUE!,0
11,16-Mar-01,Enemy at the Gates,"$85,000,000 ","$51,396,781 ","$96,971,293 ",,Enemy at the Gates,,,,,#VALUE!,0
12,18-Jun-93,Last Action Hero,"$85,000,000 ","$50,016,394 ","$137,298,489 ",,Last Action Hero,,,,,#VALUE!,0
13,26-Sep-03,The Rundown,"$85,000,000 ","$47,641,743 ","$80,831,893 ",,The Rundown,,,,,#VALUE!,0
14,23-Nov-11,Arthur Christmas,"$85,000,000 ","$46,462,469 ","$149,717,124 ",,Arthur Christmas,,,,,#VALUE!,0
15,20-Jan-17,xXx: Return of Xander Cage,"$85,000,000 ","$44,898,413 ","$345,033,359 ",,xXx: Return of Xander Cage,,,,,#VALUE!,0
16,13-Nov-98,Meet Joe Black,"$85,000,000 ","$44,650,003 ","$44,650,003 ",,Meet Joe Black,,,,,#VALUE!,0
17,30-Jul-10,Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000 ","$43,585,753 ","$113,026,383 ",,Cats & Dogs: The Revenge of Kitty Galore,,,,,#VALUE!,0
18,8-Feb-02,Collateral Damage,"$85,000,000 ","$40,048,332 ","$78,353,508 ",,Collateral Damage,,,,,#VALUE!,0
19,15-Mar-02,Showtime,"$85,000,000 ","$37,948,765 ","$78,948,765 ",,Showtime,,,,,#VALUE!,0
20,30-Jun-95,Judge Dredd,"$85,000,000 ","$34,687,912 ","$113,487,912 ",,Judge Dredd,,,,,#VALUE!,0
21,2-Mar-07,Zodiac,"$85,000,000 ","$33,080,084 ","$83,080,084 ",,Zodiac,,,,,#VALUE!,0
22,13-Aug-10,Scott Pilgrim vs. The World,"$85,000,000 ","$31,611,316 ","$48,056,764 ",,Scott Pilgrim vs. The World,,,,,#VALUE!,0
23,28-Mar-03,The Core,"$85,000,000 ","$31,111,260 ","$74,132,631 ",,The Core,,,,,#VALUE!,0
24,9-May-97,Father's Day,"$85,000,000 ","$28,681,080 ","$35,681,080 ",,Father's Day,,,,,#VALUE!,0
25,20-Dec-17,The Greatest Showman,"$84,000,000 ","$174,340,174 ","$386,665,550 ",,The Greatest Showman,,,,,#VALUE!,0
26,14-Jun-02,Scooby-Doo,"$84,000,000 ","$153,294,164 ","$276,294,164 ",,Scooby-Doo,,,,,#VALUE!,0
27,28-Jul-00,Nutty Professor II: The Klumps,"$84,000,000 ","$123,307,945 ","$166,307,945 ",,Nutty Professor II: The Klumps,,,,,#VALUE!,0
28,19-Jul-13,RED 2,"$84,000,000 ","$53,262,560 ","$141,507,355 ",,RED 2,,,,,#VALUE!,0
29,23-Jun-06,Click,"$82,500,000 ","$137,355,633 ","$237,685,089 ",,Click,,,,,#VALUE!,0
30,15-Dec-06,Charlotte's Web,"$82,500,000 ","$82,985,708 ","$143,985,708 ",,Charlotte's Web,,,,,#VALUE!,0
31,14-Feb-08,Jumper,"$82,500,000 ","$80,172,128 ","$222,640,812 ",,Jumper,,,,,#VALUE!,0
32,11-Jul-08,Hellboy II: The Golden Army,"$82,500,000 ","$75,986,503 ","$160,388,063 ",,Hellboy II: The Golden Army,,,,,#VALUE!,0
33,27-May-05,The Longest Yard,"$82,000,000 ","$158,119,460 ","$191,558,505 ",,The Longest Yard,,,,,#VALUE!,0
34,13-Aug-10,The Expendables,"$82,000,000 ","$103,068,524 ","$268,268,174 ",,The Expendables,,,,,#VALUE!,0
35,17-Nov-00,The 6th Day,"$82,000,000 ","$34,543,701 ","$96,024,898 ",,The 6th Day,,,,,#VALUE!,0
36,21-Feb-20,Call of the Wild,"$82,000,000 ",$0 ,$0 ,,Call of the Wild,,,,,#VALUE!,0
37,23-May-03,Bruce Almighty,"$81,000,000 ","$242,704,995 ","$484,468,608 ",,Bruce Almighty,,,,,#VALUE!,0
38,23-Mar-12,The Hunger Games,"$80,000,000 ","$408,010,692 ","$677,923,379 ",,The Hunger Games,,,,,#VALUE!,0
39,26-May-11,The Hangover Part II,"$80,000,000 ","$254,464,305 ","$586,464,305 ",,The Hangover Part II,,,,,#VALUE!,0
40,21-May-96,Mission: Impossible,"$80,000,000 ","$180,981,886 ","$457,697,994 ",,Mission: Impossible,,,,,#VALUE!,0
41,10-Feb-17,The Lego Batman Movie,"$80,000,000 ","$175,750,384 ","$310,660,018 ",,The Lego Batman Movie,,,,,#VALUE!,0
42,25-Sep-15,Hotel Transylvania 2,"$80,000,000 ","$169,700,110 ","$469,500,298 ",,Hotel Transylvania 2,,,,,#VALUE!,0
43,18-Jun-92,Batman Returns,"$80,000,000 ","$162,833,635 ","$266,824,291 ",,Batman Returns,,,,,#VALUE!,0
44,7-May-99,The Mummy,"$80,000,000 ","$155,385,488 ","$416,385,488 ",,The Mummy,,,,,#VALUE!,0
45,19-May-06,Over the Hedge,"$80,000,000 ","$155,019,340 ","$343,397,247 ",,Over the Hedge,,,,,#VALUE!,0
46,21-Jun-02,Lilo & Stitch,"$80,000,000 ","$145,771,527 ","$245,800,000 ",,Lilo & Stitch,,,,,#VALUE!,0
47,8-May-98,Deep Impact,"$80,000,000 ","$140,464,664 ","$349,464,664 ",,Deep Impact,,,,,#VALUE!,0
48,12-Jul-13,Grown Ups 2,"$80,000,000 ","$133,668,525 ","$247,023,808 ",,Grown Ups 2,,,,,#VALUE!,0
49,16-Dec-11,Alvin and the Chipmunks: Chipwrecked,"$80,000,000 ","$133,107,389 ","$349,088,523 ",,Alvin and the Chipmunks: Chipwrecked,,,,,#VALUE!,0
50,20-Jun-08,Get Smart,"$80,000,000 ","$130,319,208 ","$226,739,416 ",,Get Smart,,,,,#VALUE!,0
51,11-Mar-05,Robots,"$80,000,000 ","$128,200,012 ","$260,700,012 ",,Robots,,,,,#VALUE!,0
52,19-Feb-10,Shutter Island,"$80,000,000 ","$128,012,934 ","$299,461,782 ",,Shutter Island,,,,,#VALUE!,0
53,12-Dec-03,Something's Gotta Give,"$80,000,000 ","$124,685,242 ","$266,685,242 ",,Something's Gotta Give,,,,,#VALUE!,0
54,26-Nov-08,Four Christmases,"$80,000,000 ","$120,146,040 ","$168,311,558 ",,Four Christmases,,,,,#VALUE!,0
55,27-Jun-97,Face/Off,"$80,000,000 ","$112,276,146 ","$241,200,000 ",,Face/Off,,,,,#VALUE!,0
56,25-Dec-08,Bedtime Stories,"$80,000,000 ","$110,101,975 ","$221,468,935 ",,Bedtime Stories,,,,,#VALUE!,0
57,12-Jul-02,Road to Perdition,"$80,000,000 ","$104,054,514 ","$183,354,514 ",,Road to Perdition,,,,,#VALUE!,0
58,11-Feb-11,Just Go With It,"$80,000,000 ","$103,028,109 ","$214,974,953 ",,Just Go With It,,,,,#VALUE!,0
59,14-Feb-03,Daredevil,"$80,000,000 ","$102,543,518 ","$182,782,518 ",,Daredevil,,,,,#VALUE!,0
60,26-Sep-08,Eagle Eye,"$80,000,000 ","$101,440,743 ","$180,585,259 ",,Eagle Eye,,,,,#VALUE!,0
61,6-Jun-97,Con Air,"$80,000,000 ","$101,117,573 ","$224,117,573 ",,Con Air,,,,,#VALUE!,0
62,17-Dec-10,Yogi Bear,"$80,000,000 ","$100,246,011 ","$204,774,690 ",,Yogi Bear,,,,,#VALUE!,0
63,25-Dec-03,Cold Mountain,"$80,000,000 ","$95,632,614 ","$165,173,909 ",,Cold Mountain,,,,,#VALUE!,0
64,15-Jan-10,The Book of Eli,"$80,000,000 ","$94,835,059 ","$158,750,817 ",,The Book of Eli,,,,,#VALUE!,0
65,26-Nov-97,Flubber,"$80,000,000 ","$92,993,801 ","$177,993,801 ",,Flubber,,,,,#VALUE!,0
66,23-Jul-99,The Haunting,"$80,000,000 ","$91,188,905 ","$180,188,905 ",,The Haunting,,,,,#VALUE!,0
67,15-Nov-96,Space Jam,"$80,000,000 ","$90,463,534 ","$250,200,000 ",,Space Jam,,,,,#VALUE!,0
68,17-Oct-14,Fury,"$80,000,000 ","$85,817,906 ","$210,315,681 ",,Fury,,,,,#VALUE!,0
69,28-Sep-18,Smallfoot,"$80,000,000 ","$83,240,103 ","$213,691,277 ",,Smallfoot,,,,,#VALUE!,0
70,10-Feb-06,The Pink Panther,"$80,000,000 ","$82,226,474 ","$158,926,474 ",,The Pink Panther,,,,,#VALUE!,0
71,8-Jul-11,Zookeeper,"$80,000,000 ","$80,360,866 ","$170,805,525 ",,Zookeeper,,,,,#VALUE!,0
72,12-Dec-08,The Day the Earth Stood Still,"$80,000,000 ","$79,366,978 ","$237,370,350 ",,The Day the Earth Stood Still,,,,,#VALUE!,0
73,8-Aug-97,Conspiracy Theory,"$80,000,000 ","$76,118,990 ","$142,783,718 ",,Conspiracy Theory,,,,,#VALUE!,0
74,12-Jun-98,"Six Days, Seven Nights","$80,000,000 ","$74,339,294 ","$164,800,000 ",,"Six Days, Seven Nights",,,,,#VALUE!,0
75,24-May-02,Spirit: Stallion of the Cimarron,"$80,000,000 ","$73,215,310 ","$106,515,310 ",,Spirit: Stallion of the Cimarron,,,,,#VALUE!,0
76,8-Jun-01,Swordfish,"$80,000,000 ","$69,772,969 ","$147,080,413 ",,Swordfish,,,,,#VALUE!,0
77,31-Dec-99,Fantasia 2000 (Theatrical Release),"$80,000,000 ","$69,610,858 ","$69,618,634 ",,Fantasia 2000 (Theatrical Release),,,,,#VALUE!,0
78,3-Apr-98,Lost In Space,"$80,000,000 ","$69,117,629 ","$136,047,317 ",,Lost In Space,,,,,#VALUE!,0
79,30-Jul-04,The Manchurian Candidate,"$80,000,000 ","$65,948,711 ","$96,148,711 ",,The Manchurian Candidate,,,,,#VALUE!,0
80,22-Nov-06,Déjà Vu,"$80,000,000 ","$64,038,616 ","$181,038,616 ",,Déjà Vu,,,,,#VALUE!,0
81,7-Jun-19,The Secret Life of Pets 2,"$80,000,000 ","$63,795,655 ","$113,351,496 ",,The Secret Life of Pets 2,,,,,#VALUE!,0
82,24-Jun-05,Bewitched,"$80,000,000 ","$63,313,159 ","$131,159,306 ",,Bewitched,,,,,#VALUE!,0
83,8-Mar-02,The Time Machine,"$80,000,000 ","$56,684,819 ","$98,983,590 ",,The Time Machine,,,,,#VALUE!,0
84,2-Oct-98,What Dreams May Come,"$80,000,000 ","$55,485,043 ","$71,485,043 ",,What Dreams May Come,,,,,#VALUE!,0
85,25-Dec-98,Mighty Joe Young,"$80,000,000 ","$50,632,037 ","$50,632,037 ",,Mighty Joe Young,,,,,#VALUE!,0
86,28-Oct-05,The Legend of Zorro,"$80,000,000 ","$45,575,336 ","$141,475,336 ",,The Legend of Zorro,,,,,#VALUE!,0
87,10-Nov-00,Little Nicky,"$80,000,000 ","$39,442,871 ","$58,270,391 ",,Little Nicky,,,,,#VALUE!,0
88,25-Sep-09,Surrogates,"$80,000,000 ","$38,577,772 ","$119,668,350 ",,Surrogates,,,,,#VALUE!,0
89,8-Jun-01,Evolution,"$80,000,000 ","$38,311,134 ","$98,341,932 ",,Evolution,,,,,#VALUE!,0
90,26-Aug-05,The Brothers Grimm,"$80,000,000 ","$37,899,638 ","$105,299,638 ",,The Brothers Grimm,,,,,#VALUE!,0
91,13-Dec-96,Mars Attacks!,"$80,000,000 ","$37,771,017 ","$101,371,017 ",,Mars Attacks!,,,,,#VALUE!,0
92,14-Apr-06,The Wild,"$80,000,000 ","$37,384,046 ","$99,010,667 ",,The Wild,,,,,#VALUE!,0
93,20-Dec-13,Walking with Dinosaurs,"$80,000,000 ","$36,076,121 ","$123,368,842 ",,Walking with Dinosaurs,,,,,#VALUE!,0
94,22-Dec-00,Thirteen Days,"$80,000,000 ","$34,566,746 ","$66,554,547 ",,Thirteen Days,,,,,#VALUE!,0
95,6-Dec-96,Daylight,"$80,000,000 ","$32,908,290 ","$158,908,290 ",,Daylight,,,,,#VALUE!,0
96,23-Oct-15,The Last Witch Hunter,"$80,000,000 ","$27,367,660 ","$130,818,912 ",,The Last Witch Hunter,,,,,#VALUE!,0
97,21-Feb-14,Pompeii,"$80,000,000 ","$23,169,033 ","$108,469,033 ",,Pompeii,,,,,#VALUE!,0
98,12-May-00,Battlefield Earth: A Saga of the Year 3000,"$80,000,000 ","$21,471,685 ","$29,725,663 ",,Battlefield Earth: A Saga of the Year 3000,,,,,#VALUE!,0
99,14-Nov-03,Looney Tunes: Back in Action,"$80,000,000 ","$20,950,820 ","$54,540,662 ",,Looney Tunes: Back in Action,,,,,#VALUE!,0
100,18-Dec-09,Nine,"$80,000,000 ","$19,676,965 ","$53,508,858 ",,Nine,,,,,#VALUE!,0
1,26-Nov-03,Timeline,"$80,000,000 ","$19,480,739 ","$26,703,184 ",,Timeline,,,,,#VALUE!,0
2,22-Apr-10,Oceans,"$80,000,000 ","$19,422,319 ","$86,787,530 ",,Oceans,,,,,#VALUE!,0
3,25-Nov-98,Babe: Pig in the City,"$80,000,000 ","$18,319,860 ","$69,131,860 ",,Babe: Pig in the City,,,,,#VALUE!,0
4,25-Dec-97,The Postman,"$80,000,000 ","$17,650,704 ","$20,841,123 ",,The Postman,,,,,#VALUE!,0
5,10-Nov-00,Red Planet,"$80,000,000 ","$17,480,890 ","$33,463,969 ",,Red Planet,,,,,#VALUE!,0
6,12-Jan-07,Arthur et les Minimoys,"$80,000,000 ","$15,132,763 ","$113,325,743 ",,Arthur et les Minimoys,,,,,#VALUE!,0
7,17-Aug-07,The Invasion,"$80,000,000 ","$15,074,191 ","$40,147,042 ",,The Invasion,,,,,#VALUE!,0
8,2-Sep-05,A Sound of Thunder,"$80,000,000 ","$1,900,451 ","$6,300,451 ",,A Sound of Thunder,,,,,#VALUE!,0
9,15-Jun-94,The Lion King,"$79,300,000 ","$421,785,283 ","$986,214,868 ",,The Lion King,,,,,#VALUE!,0
10,10-Feb-12,Journey 2: The Mysterious Island,"$79,000,000 ","$103,860,290 ","$318,146,162 ",,Journey 2: The Mysterious Island,,,,,#VALUE!,0
11,11-Nov-11,Jack and Jill,"$79,000,000 ","$74,158,157 ","$150,519,217 ",,Jack and Jill,,,,,#VALUE!,0
12,21-Dec-01,A Beautiful Mind,"$78,000,000 ","$170,708,996 ","$317,668,058 ",,A Beautiful Mind,,,,,#VALUE!,0
13,27-Sep-13,Cloudy with a Chance of Meatballs 2,"$78,000,000 ","$119,793,567 ","$274,392,649 ",,Cloudy with a Chance of Meatballs 2,,,,,#VALUE!,0
14,4-Oct-02,Red Dragon,"$78,000,000 ","$92,955,420 ","$206,455,420 ",,Red Dragon,,,,,#VALUE!,0
15,5-Mar-04,Hidalgo,"$78,000,000 ","$67,286,731 ","$108,086,731 ",,Hidalgo,,,,,#VALUE!,0
16,11-Jul-03,The League of Extraordinary Gentlemen,"$78,000,000 ","$66,465,204 ","$179,265,204 ",,The League of Extraordinary Gentlemen,,,,,#VALUE!,0
17,20-Aug-04,Exorcist: The Beginning,"$78,000,000 ","$41,814,863 ","$43,957,541 ",,Exorcist: The Beginning,,,,,#VALUE!,0
18,31-Dec-12,Astérix & Obélix : Au service de Sa Majesté,"$77,600,000 ",$0 ,"$60,680,125 ",,Astérix & Obélix : Au service de Sa Majesté,,,,,#VALUE!,0
19,12-Feb-16,The Little Prince,"$77,500,000 ","$1,311,213 ","$102,028,919 ",,The Little Prince,,,,,#VALUE!,0
20,22-Jan-19,Renegades,"$77,500,000 ",$0 ,"$1,521,672 ",,Renegades,,,,,#VALUE!,0
21,20-Jul-18,The Equalizer 2,"$77,000,000 ","$102,084,362 ","$190,453,132 ",,The Equalizer 2,,,,,#VALUE!,0
22,3-Jul-13,Despicable Me 2,"$76,000,000 ","$368,065,385 ","$975,216,835 ",,Despicable Me 2,,,,,#VALUE!,0
23,6-Jun-03,2 Fast 2 Furious,"$76,000,000 ","$127,120,058 ","$236,410,607 ",,2 Fast 2 Furious,,,,,#VALUE!,0
24,25-Dec-06,Children of Men,"$76,000,000 ","$35,552,383 ","$69,845,011 ",,Children of Men,,,,,#VALUE!,0
25,30-Jun-00,The Adventures of Rocky & Bullwinkle,"$76,000,000 ","$26,000,610 ","$35,129,610 ",,The Adventures of Rocky & Bullwinkle,,,,,#VALUE!,0
26,8-Jul-16,The Secret Life of Pets,"$75,000,000 ","$368,384,330 ","$886,750,534 ",,The Secret Life of Pets,,,,,#VALUE!,0
27,2-Jul-96,Independence Day,"$75,000,000 ","$306,169,255 ","$817,400,878 ",,Independence Day,,,,,#VALUE!,0
28,9-Nov-18,Dr. Seuss' The Grinch,"$75,000,000 ","$270,620,950 ","$511,002,426 ",,Dr. Seuss' The Grinch,,,,,#VALUE!,0
29,21-Dec-16,Sing,"$75,000,000 ","$270,329,045 ","$634,454,789 ",,Sing,,,,,#VALUE!,0
30,30-Jun-17,Despicable Me 3,"$75,000,000 ","$264,624,300 ","$1,034,727,750 ",,Despicable Me 3,,,,,#VALUE!,0
31,22-May-97,The Lost World: Jurassic Park,"$75,000,000 ","$229,086,679 ","$618,638,999 ",,The Lost World: Jurassic Park,,,,,#VALUE!,0
32,31-Mar-06,Ice Age: The Meltdown,"$75,000,000 ","$195,330,621 ","$651,899,282 ",,Ice Age: The Meltdown,,,,,#VALUE!,0
33,27-May-05,Madagascar,"$75,000,000 ","$193,595,521 ","$556,559,566 ",,Madagascar,,,,,#VALUE!,0
34,25-Jun-10,Grown Ups,"$75,000,000 ","$162,001,186 ","$272,223,430 ",,Grown Ups,,,,,#VALUE!,0
35,1-Oct-04,Shark Tale,"$75,000,000 ","$161,412,000 ","$371,917,043 ",,Shark Tale,,,,,#VALUE!,0
36,14-Jul-00,X-Men,"$75,000,000 ","$157,299,717 ","$296,872,367 ",,X-Men,,,,,#VALUE!,0
37,27-Jun-08,Wanted,"$75,000,000 ","$134,508,551 ","$342,416,460 ",,Wanted,,,,,#VALUE!,0
38,7-Jun-96,The Rock,"$75,000,000 ","$134,069,511 ","$336,069,511 ",,The Rock,,,,,#VALUE!,0
39,13-Feb-04,50 First Dates,"$75,000,000 ","$120,776,832 ","$196,320,329 ",,50 First Dates,,,,,#VALUE!,0
40,20-Jul-07,Hairspray,"$75,000,000 ","$118,871,849 ","$203,035,572 ",,Hairspray,,,,,#VALUE!,0
41,31-May-13,Now You See Me,"$75,000,000 ","$117,723,989 ","$342,769,200 ",,Now You See Me,,,,,#VALUE!,0
42,15-Dec-06,Dreamgirls,"$75,000,000 ","$103,365,956 ","$155,708,695 ",,Dreamgirls,,,,,#VALUE!,0
43,3-Aug-18,Christopher Robin,"$75,000,000 ","$99,215,042 ","$197,504,758 ",,Christopher Robin,,,,,#VALUE!,0
44,23-Jul-99,Inspector Gadget,"$75,000,000 ","$97,387,965 ","$97,387,965 ",,Inspector Gadget,,,,,#VALUE!,0
45,11-Nov-11,Immortals,"$75,000,000 ","$83,504,017 ","$211,562,435 ",,Immortals,,,,,#VALUE!,0
46,18-Jun-04,The Terminal,"$75,000,000 ","$77,073,959 ","$218,673,959 ",,The Terminal,,,,,#VALUE!,0
47,18-Feb-05,Constantine,"$75,000,000 ","$75,976,178 ","$221,594,911 ",,Constantine,,,,,#VALUE!,0
48,21-Jul-06,Monster House,"$75,000,000 ","$73,661,010 ","$141,267,370 ",,Monster House,,,,,#VALUE!,0
49,8-Dec-00,Vertical Limit,"$75,000,000 ","$68,473,360 ","$213,500,000 ",,Vertical Limit,,,,,#VALUE!,0
50,21-Dec-07,Charlie Wilson's War,"$75,000,000 ","$66,661,095 ","$119,512,771 ",,Charlie Wilson's War,,,,,#VALUE!,0
51,16-Apr-99,Life,"$75,000,000 ","$64,062,587 ","$73,521,587 ",,Life,,,,,#VALUE!,0
52,4-Mar-05,Be Cool,"$75,000,000 ","$55,849,401 ","$94,944,017 ",,Be Cool,,,,,#VALUE!,0
53,23-Dec-05,Munich,"$75,000,000 ","$47,379,090 ","$131,492,772 ",,Munich,,,,,#VALUE!,0
54,4-Jun-10,Killers,"$75,000,000 ","$47,059,963 ","$95,572,749 ",,Killers,,,,,#VALUE!,0
55,14-Aug-15,The Man From U.N.C.L.E.,"$75,000,000 ","$45,445,109 ","$104,949,584 ",,The Man From U.N.C.L.E.,,,,,#VALUE!,0
56,7-Mar-03,Tears of the Sun,"$75,000,000 ","$43,632,458 ","$85,632,458 ",,Tears of the Sun,,,,,#VALUE!,0
57,21-Jul-06,Lady in the Water,"$75,000,000 ","$42,285,169 ","$72,785,169 ",,Lady in the Water,,,,,#VALUE!,0
58,17-Dec-04,Spanglish,"$75,000,000 ","$42,044,321 ","$54,344,321 ",,Spanglish,,,,,#VALUE!,0
59,12-Oct-01,Bandits,"$75,000,000 ","$41,523,271 ","$71,523,271 ",,Bandits,,,,,#VALUE!,0
60,17-Dec-99,Anna and the King,"$75,000,000 ","$39,251,128 ","$39,251,128 ",,Anna and the King,,,,,#VALUE!,0
61,7-Jul-95,First Knight,"$75,000,000 ","$37,361,412 ","$127,361,412 ",,First Knight,,,,,#VALUE!,0
62,25-Mar-11,Sucker Punch,"$75,000,000 ","$36,392,502 ","$89,758,389 ",,Sucker Punch,,,,,#VALUE!,0
63,11-Mar-05,Hostage,"$75,000,000 ","$34,636,443 ","$77,636,443 ",,Hostage,,,,,#VALUE!,0
64,28-Oct-16,Inferno,"$75,000,000 ","$34,343,574 ","$219,519,367 ",,Inferno,,,,,#VALUE!,0
65,13-Jun-03,Hollywood Homicide,"$75,000,000 ","$30,207,785 ","$50,409,753 ",,Hollywood Homicide,,,,,#VALUE!,0
66,16-Jun-00,Titan A.E.,"$75,000,000 ","$22,751,979 ","$36,751,979 ",,Titan A.E.,,,,,#VALUE!,0
67,17-Dec-04,Flight of the Phoenix,"$75,000,000 ","$21,009,180 ","$34,009,180 ",,Flight of the Phoenix,,,,,#VALUE!,0
68,23-Oct-98,Soldier,"$75,000,000 ","$14,623,082 ","$14,623,082 ",,Soldier,,,,,#VALUE!,0
69,15-Jan-99,Virus,"$75,000,000 ","$14,010,690 ","$30,626,690 ",,Virus,,,,,#VALUE!,0
70,23-Feb-01,Monkeybone,"$75,000,000 ","$5,409,517 ","$5,409,517 ",,Monkeybone,,,,,#VALUE!,0
71,30-Aug-19,PLAYMOBIL,"$75,000,000 ",$0 ,$0 ,,PLAYMOBIL,,,,,#VALUE!,0
72,31-Dec-19,355,"$75,000,000 ",$0 ,$0 ,,355,,,,,#VALUE!,0
73,10-Jul-15,Minions,"$74,000,000 ","$336,045,770 ","$1,160,336,173 ",,Minions,,,,,#VALUE!,0
74,6-Feb-15,The SpongeBob Movie: Sponge Out of Water,"$74,000,000 ","$162,994,032 ","$311,013,181 ",,The SpongeBob Movie: Sponge Out of Water,,,,,#VALUE!,0
75,22-Nov-00,Unbreakable,"$73,243,106 ","$94,999,143 ","$248,099,143 ",,Unbreakable,,,,,#VALUE!,0
