id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
42,16-Feb-18,Black Panther,"$200,000,000 ","$700,059,566 ","$1,348,258,224 ",,Black Panther,,,,,#VALUE!,0
43,19-Dec-97,Titanic,"$200,000,000 ","$659,363,944 ","$2,208,208,395 ",,Titanic,,,,,#VALUE!,0
44,15-Jun-18,Incredibles 2,"$200,000,000 ","$608,581,744 ","$1,242,520,711 ",,Incredibles 2,,,,,#VALUE!,0
45,16-Dec-16,Rogue One: A Star Wars Story,"$200,000,000 ","$532,177,324 ","$1,049,102,856 ",,Rogue One: A Star Wars Story,,,,,#VALUE!,0
46,17-Jun-16,Finding Dory,"$200,000,000 ","$486,295,561 ","$1,021,215,193 ",,Finding Dory,,,,,#VALUE!,0
47,18-Jun-10,Toy Story 3,"$200,000,000 ","$415,004,880 ","$1,068,879,522 ",,Toy Story 3,,,,,#VALUE!,0
48,3-May-13,Iron Man 3,"$200,000,000 ","$408,992,272 ","$1,215,392,272 ",,Iron Man 3,,,,,#VALUE!,0
49,5-May-17,Guardians of the Galaxy Vol 2,"$200,000,000 ","$389,813,101 ","$862,316,233 ",,Guardians of the Galaxy Vol 2,,,,,#VALUE!,0
50,30-Jun-04,Spider-Man 2,"$200,000,000 ","$373,524,485 ","$795,110,670 ",,Spider-Man 2,,,,,#VALUE!,0
51,5-Mar-10,Alice in Wonderland,"$200,000,000 ","$334,191,110 ","$1,025,491,110 ",,Alice in Wonderland,,,,,#VALUE!,0
52,8-Nov-12,Skyfall,"$200,000,000 ","$304,360,277 ","$1,110,526,981 ",,Skyfall,,,,,#VALUE!,0
53,21-Jun-13,Monsters University,"$200,000,000 ","$268,488,329 ","$743,588,329 ",,Monsters University,,,,,#VALUE!,0
54,8-Mar-13,Oz the Great and Powerful,"$200,000,000 ","$234,770,996 ","$490,359,051 ",,Oz the Great and Powerful,,,,,#VALUE!,0
55,23-May-14,X-Men: Days of Future Past,"$200,000,000 ","$233,921,534 ","$747,862,775 ",,X-Men: Days of Future Past,,,,,#VALUE!,0
56,2-May-14,The Amazing Spider-Man 2,"$200,000,000 ","$202,853,933 ","$708,996,336 ",,The Amazing Spider-Man 2,,,,,#VALUE!,0
57,24-Jun-11,Cars 2,"$200,000,000 ","$191,450,875 ","$560,155,383 ",,Cars 2,,,,,#VALUE!,0
58,17-Dec-10,Tron: Legacy,"$200,000,000 ","$172,062,763 ","$400,062,763 ",,Tron: Legacy,,,,,#VALUE!,0
59,13-Nov-09,2012,"$200,000,000 ","$166,112,167 ","$757,677,748 ",,2012,,,,,#VALUE!,0
60,16-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000 ","$159,555,901 ","$652,220,086 ",,Fantastic Beasts: The Crimes of Grindelwald,,,,,#VALUE!,0
61,21-May-09,Terminator Salvation,"$200,000,000 ","$125,322,469 ","$365,491,792 ",,Terminator Salvation,,,,,#VALUE!,0
62,17-Jun-11,Green Lantern,"$200,000,000 ","$116,601,172 ","$219,535,492 ",,Green Lantern,,,,,#VALUE!,0
63,28-May-10,Prince of Persia: Sands of Time,"$200,000,000 ","$90,759,676 ","$336,359,676 ",,Prince of Persia: Sands of Time,,,,,#VALUE!,0
64,29-Jun-11,Transformers: Dark of the Moon,"$195,000,000 ","$352,390,543 ","$1,123,790,543 ",,Transformers: Dark of the Moon,,,,,#VALUE!,0
65,9-Jun-17,The Mummy,"$195,000,000 ","$80,101,125 ","$409,953,905 ",,The Mummy,,,,,#VALUE!,0
66,1-Mar-13,Jack the Giant Slayer,"$195,000,000 ","$65,187,603 ","$197,687,603 ",,Jack the Giant Slayer,,,,,#VALUE!,0
67,3-Apr-15,Furious 7,"$190,000,000 ","$353,007,020 ","$1,518,722,794 ",,Furious 7,,,,,#VALUE!,0
68,16-May-13,Star Trek Into Darkness,"$190,000,000 ","$228,778,661 ","$467,381,584 ",,Star Trek Into Darkness,,,,,#VALUE!,0
69,21-Jun-13,World War Z,"$190,000,000 ","$202,359,711 ","$531,514,650 ",,World War Z,,,,,#VALUE!,0
70,10-May-13,The Great Gatsby,"$190,000,000 ","$144,840,419 ","$351,040,419 ",,The Great Gatsby,,,,,#VALUE!,0
71,6-Nov-09,Disney's A Christmas Carol,"$190,000,000 ","$137,855,863 ","$315,709,697 ",,Disney's A Christmas Carol,,,,,#VALUE!,0
72,12-Jul-13,Pacific Rim,"$190,000,000 ","$101,802,906 ","$411,002,906 ",,Pacific Rim,,,,,#VALUE!,0
73,25-Nov-15,The Good Dinosaur,"$187,500,000 ","$123,087,120 ","$333,771,037 ",,The Good Dinosaur,,,,,#VALUE!,0
74,2-May-08,Iron Man,"$186,000,000 ","$318,604,126 ","$585,171,547 ",,Iron Man,,,,,#VALUE!,0
